unicode,Kanji,Definition,On Readings,Kun Readings
U+89E7,觧,"notes, key, explanation, understanding","カイ, ゲ","と.く, と.かす, と.ける, ほど.く, ほど.ける, わか.る, さと.る"
U+89F8,觸,"touch, feel, hit, proclaim, announce, conflict, contact",ショク,"ふ.れる, さわ.る"
U+8A00,言,"say, word","ゲン, ゴン","い.う, こと"
U+8A02,訂,"revise, correct, decide",テイ,ただ.す
U+8A08,計,"plot, plan, scheme, measure",ケイ,"はか.る, はか.らう"
U+8A0E,討,"chastise, attack, defeat, destroy, conquer",トウ,う.つ
U+8A13,訓,"instruction, Japanese character reading, explanation, read","クン, キン","おし.える, よ.む, くん.ずる"
U+8A17,託,"consign, requesting, entrusting with, pretend, hint",タク,"かこつ.ける, かこ.つ, かこ.つける"
U+8A18,記,"scribe, account, narrative",キ,しる.す
U+8A1B,訛,"accent, dialect",カ,"なま.る, なま.り, あやま.る"
U+8A1D,訝,doubt,"ガ, ゲ",いぶか.る
U+8A23,訣,"separation, part, secret",ケツ,"わかれ, わかれ.る"
U+8A25,訥,stutter,トツ,ども.る
U+8A2A,訪,"call on, visit, look up, offer sympathy",ホウ,"おとず.れる, たず.ねる, と.う"
U+8A2D,設,"establishment, provision, prepare",セツ,もう.ける
U+8A31,許,"permit, approve",キョ,"ゆる.す, もと"
U+8A33,訳,"translate, reason, circumstance, case",ヤク,わけ
U+8A34,訴,"accusation, sue, complain of pain, appeal to",ソ,うった.える
U+8A3B,註,"notes, comment, annotate",チュウ,
U+8A3C,証,"evidence, proof, certificate",ショウ,あかし
U+8A50,詐,"lie, falsehood, deceive, pretend",サ,いつわ.る
U+8A54,詔,imperial edict,ショウ,みことのり
U+8A55,評,"evaluate, criticism, comment",ヒョウ,
U+8A5B,詛,curse,"ソ, ショ",のろ.う
U+8A5E,詞,"part of speech, words, poetry",シ,ことば
U+8A60,詠,"recitation, poem, song, composing",エイ,"よ.む, うた.う"
U+8A63,詣,"visit a temple, arrive, attain","ケイ, ゲイ","けい.する, まい.る, いた.る, もう.でる"
U+8A66,試,"test, try, attempt, experiment, ordeal",シ,"こころ.みる, ため.す"
U+8A69,詩,"poem, poetry",シ,うた
U+8A6B,詫,apologize,タ,"わび, わび.しい, かこつ, わ.びる, わび.る"
U+8A6E,詮,"discussion, methods called for, selection, result",セン,"せん.ずる, かい, あき.らか"
U+8A70,詰,"packed, close, pressed, reprove, rebuke, blame","キツ, キチ","つ.める, つ.め, -づ.め, つ.まる, つ.む"
U+8A71,話,"tale, talk",ワ,"はな.す, はなし"
U+8A73,詳,"detailed, full, minute, accurate, well-informed",ショウ,"くわ.しい, つまび.らか"
U+8A82,誂,order,チョウ,"あつら.える, いど.む"
U+8A85,誅,death penalty,"チュウ, チュ","ちゅう.する, ころ.す, せ.める"
U+8A87,誇,"boast, be proud, pride, triumphantly",コ,ほこ.る
U+8A89,誉,"reputation, praise, honor, glory",ヨ,"ほま.れ, ほ.める"
U+8A8C,誌,"document, records",シ,
U+8A8D,認,"acknowledge, witness, discern, recognize, appreciate, believe",ニン,"みと.める, したた.める"
U+8A91,誑,"cheat, coax",キョウ,"たばか.る, たぶら.かす, た.らす"
U+8A93,誓,"vow, swear, pledge",セイ,ちか.う
U+8A95,誕,"nativity, be born, declension, lie, be arbitrary",タン,
U+8A98,誘,"entice, lead, tempt, invite, ask, call for, seduce, allure",ユウ,"さそ.う, いざな.う"
U+8A9E,語,"word, speech, language",ゴ,"かた.る, かた.らう"
U+8AA0,誠,"sincerity, admonish, warn, prohibit, truth, fidelity",セイ,まこと
U+8AA4,誤,"mistake, err, do wrong, mislead",ゴ,"あやま.る, -あやま.る"
U+8AA6,誦,"recite, chant","ショウ, ジュ, ズ","とな.える, よ.む"
U+8AA8,誨,instruct,カイ,おし.える
U+8AAC,説,"opinion, theory, explanation, rumor","セツ, ゼイ",と.く
U+8AAD,読,read,"ドク, トク, トウ","よ.む, -よ.み"
U+8AB0,誰,"who, someone, somebody",スイ,"だれ, たれ, た"
U+8AB2,課,"chapter, lesson, section, department, division, counter for chapters (of a book)",カ,
U+8AB9,誹,"ridicule, slander","ヒ, ハイ",そし.る
U+8ABF,調,"tune, tone, meter, key (music), writing style, prepare, exorcise, investigate, harmonize, mediate",チョウ,"しら.べる, しら.べ, ととの.う, ととの.える"
U+8AC7,談,"discuss, talk",ダン,
U+8ACB,請,"solicit, invite, ask","セイ, シン, ショウ","こ.う, う.ける"
U+8ACC,諌,"admonish, dissuade",カン,"いさ.め, いさ.める"
U+8ACF,諏,consult,"シュ, ス","そう, はか.る"
U+8AD6,論,"argument, discourse",ロン,あげつら.う
U+8ADA,諚,"command, (kokuji)",ジョウ,
U+8ADB,諛,flatter,ユ,"へつら.う, へつら.い"
U+8AE7,諧,harmony,カイ,"かな.う, やわ.らぐ"
U+8AEB,諫,"admonish, dissuade",カン,いさ.める
U+8AED,諭,"rebuke, admonish, charge, warn, persuade",ユ,さと.す
U+8AF1,諱,posthumous (real) name,キ,"いみな, い.む"
U+8AF7,諷,"hint, satirize",フウ,そら.んじる
U+8AF8,諸,"various, many, several, together",ショ,もろ
U+8AFA,諺,proverb,ゲン,ことわざ
U+8B00,謀,"conspire, cheat, impose on, plan, devise, scheme, have in mind, deceive","ボウ, ム","はか.る, たばか.る, はかりごと"
U+8B02,謂,"reason, origin, history, oral tradition",イ,"い.う, いい, おも.う, いわゆる"
U+8B0E,謎,"riddle, puzzle, enigma, hint, tip","メイ, ベイ",なぞ
U+8B17,謗,"slander, disparage, censure, criticize","ボウ, ホウ",そし.る
U+8B19,謙,"self-effacing, humble oneself, condescend, be modest",ケン,へりくだ.る
U+8B1B,講,"lecture, club, association",コウ,
U+8B1D,謝,"apologize, thank, refuse",シャ,あやま.る
U+8B20,謠,"chant (esp. Noh), folksong, ballad",ヨウ,"うた.う, うた"
U+8B21,謡,"song, sing, ballad, noh chanting",ヨウ,"うた.い, うた.う"
U+8B2B,謫,crime,"タク, チャク","せ.める, とが.める"
U+8B49,證,"proof, evidence, certificate, testify, verify, guarantee, witness",ショウ,あかし
U+8B4F,譏,"slander, disparage, censure, criticize",キ,そし.る
U+8B58,識,"discriminating, know, write",シキ,"し.る, しる.す"
U+8B5A,譚,talk,タン,はなし
U+8B5C,譜,"musical score, music, note, staff, table, genealogy",フ,
U+8B6C,譬,illustrate,ヒ,"たと.える, たと.え"
U+8B70,議,"deliberation, consultation, debate, consideration",ギ,
U+8B72,譲,"defer, turnover, transfer, convey",ジョウ,ゆず.る
U+8B77,護,"safeguard, protect",ゴ,まも.る
U+8B7D,譽,"fame, reputation, praise",ヨ,"ほ.まれ, ほ.める"
U+8B80,讀,"read, study, pronounce","ドク, トク, トウ",よ.む
U+8B83,讃,"praise, title on a picture",サン,"ほ.める, たた.える"
U+8B8A,變,"change, strange",ヘン,"か.わる, か.える"
U+8B90,讐,"enemy, revenge",シュウ,"あだ, むく.いる, あ.たる"
U+8B92,讒,defamation,"ザン, サン",そし.る
U+8B93,讓,"allow, permit, yield, concede",ジョウ,ゆず.る
U+8B9A,讚,"praise, picture title",サン,"ほ.める, たた.える"
U+8C37,谷,valley,コク,"たに, きわ.まる"
U+8C3F,谿,valley,ケイ,"たに, たにがわ"
U+8C46,豆,"beans, pea, midget","トウ, ズ","まめ, まめ-"
U+8C48,豈,an interjection of surprise,"カイ, ガイ, キ",あに
U+8C49,豉,fermented beans,シ,みそ
U+8C4A,豊,"bountiful, excellent, rich","ホウ, ブ","ゆた.か, とよ"
U+8C4C,豌,pea,"エン, ワン",
U+8C50,豐,"bountiful, excellent, rich","ホウ, ブ","ゆた.か, とよ"
U+8C55,豕,"pig, hog, pig radical (no. 152)",シ,
U+8C5A,豚,"pork, pig",トン,ぶた
U+8C61,象,"elephant, pattern after, imitate, image, shape, sign (of the times)","ショウ, ゾウ",かたど.る
U+8C7A,豺,jackal,サイ,やまいぬ
U+8C8C,貌,"form, appearance, countenance","ボウ, バク","かたち, かたどる"
U+8C9D,貝,shellfish,バイ,かい
U+8C9E,貞,"upright, chastity, constancy, righteousness","テイ, ジョウ","ただし.い, さだ"
U+8CA0,負,"defeat, negative, -, minus, bear, owe, assume a responsibility",フ,"ま.ける, ま.かす, お.う"
U+8CA1,財,"property, money, wealth, assets","ザイ, サイ, ゾク",たから
U+8CA2,貢,"tribute, support, finance","コウ, ク",みつ.ぐ
U+8CA7,貧,"poverty, poor","ヒン, ビン",まず.しい
U+8CA8,貨,"freight, goods, property",カ,たから
U+8CA9,販,"marketing, sell, trade",ハン,
U+8CAA,貪,"covet, indulge in","タン, ドン, トン",むさぼ.る
U+8CAB,貫,"pierce, 8 1/3lbs, penetrate, brace",カン,"つらぬ.く, ぬ.く, ぬき"
U+8CAC,責,"blame, condemn, censure",セキ,せ.める
U+8CAF,貯,"savings, store, lay in, keep, wear mustache",チョ,"た.める, たくわ.える"
U+8CB0,貰,"get, have, obtain","セイ, シャ",もら.う
U+8CB3,貳,two,"ニ, ジ","ふた.つ, そえ"
U+8CB4,貴,"precious, value, prize, esteem, honor",キ,"たっと.い, とうと.い, たっと.ぶ, とうと.ぶ"
U+8CB6,貶,"degrade, disparage, belittle, demote",ヘン,"けな.す, おとし.める, おと.す"
U+8CB7,買,buy,バイ,か.う
U+8CB8,貸,lend,タイ,"か.す, か.し-, かし-"
U+8CBB,費,"expense, cost, spend, consume, waste",ヒ,"つい.やす, つい.える"
U+8CBC,貼,"stick, paste, apply","テン, チョウ","は.る, つ.く"
U+8CBF,貿,"trade, exchange",ボウ,
U+8CC0,賀,"congratulations, joy",ガ,
U+8CC3,賃,"fare, fee, hire, rent, wages, charge",チン,
U+8CC4,賄,"bribe, board, supply, finance",ワイ,まかな.う
U+8CC7,資,"assets, resources, capital, funds, data, be conducive to, contribute to",シ,
U+8CC8,賈,"buy, tradesman","コ, カ","あきな.い, あきな.う, う.る, か.う"
U+8CCA,賊,"burglar, rebel, traitor, robber",ゾク,
U+8CCE,賎,"despise, low-life, poverty","セン, ゼン","いや.しい, いや.しむ, いや.しめる, しず, やす.い"
U+8CD1,賑,"flourish, be bustling, prosperity",シン,"にぎ.わい, にぎ.やか, にぎ.わす, にぎ.わう"
U+8CD3,賓,"V.I.P., guest",ヒン,
U+8CDB,賛,"approve, praise, title or inscription on picture, assist, agree with",サン,"たす.ける, たた.える"
U+8CDC,賜,"grant, gift, boon, results",シ,"たまわ.る, たま.う, たも.う"
U+8CDE,賞,"prize, reward, praise",ショウ,ほ.める
U+8CE2,賢,"intelligent, wise, wisdom, cleverness",ケン,かしこ.い
U+8CE3,賣,"sell, betray, show off",バイ,"う.る, う.れる"
U+8CE4,賤,"despise, low-life, poverty","セン, ゼン","いや.しい, いや.しむ, しず, やす.い"
U+8CE6,賦,"levy, ode, prose, poem, tribute, installment","フ, ブ",
U+8CEA,質,"substance, quality, matter, temperament","シツ, シチ, チ","たち, ただ.す, もと, わりふ"
U+8CED,賭,"gamble, wager, bet",ト,"か.ける, かけ"
U+8CFA,賺,coax,"タン, レン",すか.す
U+8CFD,賽,"dice, temple visit",サイ,
U+8D04,贄,"offering, sacrifice",シ,にえ
U+8D05,贅,luxury,セイ,いぼ
U+8D08,贈,"presents, send, give to, award to, confer on, presenting something","ゾウ, ソウ",おく.る
U+8D0F,贏,"victory, surplus",エイ,あまり
U+8D14,贔,"strength, power",ヒ,
U+8D16,贖,redeem,ショク,あがな.う
U+8D64,赤,red,"セキ, シャク","あか, あか-, あか.い, あか.らむ, あか.らめる"
U+8D66,赦,"pardon, forgiveness",シャ,
U+8D67,赧,get red,タン,あから.める
U+8D6B,赫,"suddenly, brighten, illuminate, light up",カク,"あかい, あか, かがや.く"
U+8D70,走,run,ソウ,はし.る
U+8D74,赴,"proceed, get, become, tend",フ,おもむ.く
U+8D77,起,"rouse, wake up, get up",キ,"お.きる, お.こる, お.こす, おこ.す, た.つ"
U+8D85,超,"transcend, super-, ultra-",チョウ,"こ.える, こ.す"
U+8D8A,越,"surpass, cross over, move to, exceed, Vietnam","エツ, オツ","こ.す, -こ.す, -ご.し, こ.える, -ご.え"
U+8D99,趙,"nimble, late-going","チョウ, ジョウ, キョウ",
U+8DA3,趣,"purport, gist, elegance, interest, proceed to, tend, become",シュ,"おもむき, おもむ.く"
U+8DB3,足,"leg, foot, be sufficient, counter for pairs of footwear",ソク,"あし, た.りる, た.る, た.す"
U+8DCB,跋,"epilogue, postscript","ハツ, バツ","おくがき, ふ.む"
U+8DCC,跌,stumble,テツ,"あやまつ, つまず.く"
U+8DCF,跏,sitting in the lotus position,カ,
U+8DD6,跖,sole of the foot,セキ,あしのうら
U+8DDF,跟,heel,コン,くび.す
U+8DE1,跡,"tracks, mark, print, impression",セキ,あと
U+8DE8,跨,"be, sit or stand astride, extend over, straddle","コ, カ","また.がる, またが.る, また.ぐ"
U+8DEA,跪,kneel,キ,ひざまず.く
U+8DEF,路,"path, route, road, distance","ロ, ル","-じ, みち"
U+8DF3,跳,"hop, leap up, spring, jerk, prance, buck, splash, sputter, snap",チョウ,"は.ねる, と.ぶ, -と.び"
U+8DFC,跼,"bow, stoop, bend over, crouch",キョク,"こご.む, くぐま.る, かが.む, せぐく.まる"
U+8E06,踆,squat,"シュン, ソン",しりぞ.く
U+8E0A,踊,"jump, dance, leap, skip",ヨウ,おど.る
U+8E0F,踏,"step, trample, carry through, appraise, evade payment",トウ,"ふ.む, ふ.まえる"
U+8E1D,踝,ankle,カ,くるぶし
U+8E1E,踞,"crouch, cower","キョ, コ",うずく.まる
U+8E2A,踪,"remains, clue, footprint","ソウ, ショウ",あと
U+8E30,踰,go beyond,"ユ, ヨウ",こ.える
U+8E44,蹄,hoof,テイ,ひづめ
U+8E47,蹇,cripple,ケン,"いざ.る, あしなえ, なや.む"
U+8E48,蹈,"step on, trample, carry through, appraise, evade payment",トウ,ふ.む
U+8E4A,蹊,path,ケイ,"みち, わた.る"
U+8E64,蹤,"footprints, traces, tracks",ショウ,あと
U+8E74,蹴,kick,"シュク, シュウ",け.る
U+8E81,躁,noisy,ソウ,さわ.ぐ
U+8E87,躇,hesitate,"チョ, チャク",ためら.う
U+8E8A,躊,hesitate,"チュウ, チュ, シュウ, ジュ",ためら.う
U+8E8D,躍,"leap, dance, skip",ヤク,おど.る
U+8EA1,躡,step on,ジョウ,ふ.む
U+8EAB,身,"somebody, person, one's station in life",シン,み
U+8EAC,躬,"body, self","キュウ, キョウ",み
U+8EAF,躯,"body, corpse, tree with rotten core",ク,"むくろ, からだ"
U+8EB0,躰,"the body, substance, object, reality","タイ, テイ","からだ, かたち"
U+8EBE,躾,"training, (kokuji)",,"しつ.ける, しつけ"
U+8EC6,軆,"body, group, class, unit","タイ, テイ","からだ, かたち"
U+8ECA,車,car,シャ,くるま
U+8ECD,軍,"army, force, troops, war, battle",グン,いくさ
U+8ED2,軒,"flats, counter for houses, eaves",ケン,のき
U+8EE2,転,"revolve, turn around, change",テン,"ころ.がる, ころ.げる, ころ.がす, ころ.ぶ, まろ.ぶ, うたた, うつ.る, くる.めく"
U+8EF8,軸,"axis, pivot, stem, stalk, counter for book scrolls",ジク,
U+8EFD,軽,"lightly, trifling, unimportant","ケイ, キョウ, キン","かる.い, かろ.やか, かろ.んじる"
U+8F03,較,"contrast, compare","カク, コウ",くら.べる
U+8F09,載,"ride, board, get on, place, spread, 10**44, record, publish",サイ,"の.せる, の.る"
U+8F14,輔,help,"ホ, フ",たす.ける
U+8F15,輕,"light, easy, simple, gentle",ケイ,"かる.い, かろ.やか, かろ.んじる"
U+8F1B,輛,counter for large vehicles,リョウ,
U+8F1D,輝,"radiance, shine, sparkle, gleam, twinkle",キ,かがや.く
U+8F29,輩,"comrade, fellow, people, companions",ハイ,"-ばら, やから, やかい, ともがら"
U+8F2A,輪,"wheel, ring, circle, link, loop, counter for wheels and flowers",リン,わ
U+8F2F,輯,"gather, collect, compile",シュウ,"あつ.める, やわ.らぐ"
U+8F3F,輿,"palanquin, bier, public opinion, the earth",ヨ,"かご, こし"
U+8F49,轉,"shift, move, turn",テン,"ころ.がる, ころ.げる, ころ.がす, ころ.ぶ, まろ.ぶ, うたた, うつ.る"
U+8F4D,轍,"rut, wheel track",テツ,"わだちい, わだち"
U+8F5F,轟,"roar, thunder, boom resound","ゴウ, コウ","とどろ.かす, とどろ.く"
U+8F9B,辛,"spicy, bitter, hot, acrid",シン,"から.い, つら.い, -づら.い, かのと"
U+8F9C,辜,"sin, crime",コ,つみ
U+8F9E,辞,"resign, word, term, expression",ジ,"や.める, いな.む"
U+8F9F,辟,"false, punish, crime, law","ヘキ, ヒ","きみ, ひら.く, め.す"
U+8FA8,辨,"discrimination, dispose of, distinguish","ベン, ヘン","わきま.える, わ.ける, はなびら, あらそ.う"
U+8FB0,辰,"sign of the dragon, 7-9AM, fifth sign of Chinese zodiac, shin dragon radical (no. 161)","シン, ジン",たつ
U+8FB1,辱,"embarrass, humiliate, shame",ジョク,はずかし.める
U+8FB2,農,"agriculture, farmers",ノウ,
U+8FBA,辺,"environs, boundary, border, vicinity",ヘン,"あた.り, ほと.り, -べ"
U+8FBB,辻,"crossing, crossroad, street corners, (kokuji)",,つじ
U+8FBC,込,"crowded, mixture, in bulk, included, (kokuji)",,"-こ.む, こ.む, こ.み, -こ.み, こ.める"
U+8FC2,迂,roundabout way,ウ,
U+8FC4,迄,"until, up to, as far as, to the extent",キツ,"まで, およ.ぶ"
U+8FCE,迎,"welcome, meet, greet",ゲイ,むか.える
U+8FD1,近,"near, early, akin, tantamount","キン, コン",ちか.い
U+8FD4,返,"return, answer, fade, repay",ヘン,"かえ.す, -かえ.す, かえ.る, -かえ.る"
U+8FDA,迚,"some way or other, very, (kokuji)",,とても
U+8FE6,迦,(used phonetically),"カ, ケ",
U+8FE9,迩,"approach, near, close","ジ, ニ",ちか.い
U+8FEB,迫,"urge, force, imminent, spur on",ハク,せま.る
U+8FEF,迯,"escape, flee, abscond, dodge",トウ,"に.げる, に.がす, のが.す, のが.れる"
U+8FF0,述,"mention, state, speak, relate",ジュツ,の.べる
U+8FF7,迷,"astray, be perplexed, in doubt, lost, err, illusion",メイ,まよ.う
U+8FF9,迹,"mark, print, impression","セキ, シャク",あと
U+8FFA,迺,"in other words, thou, you, possessive particle","ナイ, ダイ, アイ","の, すなわ.ち, なんじ"
U+8FFD,追,"chase, drive away, follow, pursue, meanwhile",ツイ,お.う
U+9000,退,"retreat, withdraw, retire, resign, repel, expel, reject",タイ,"しりぞ.く, しりぞ.ける, ひ.く, の.く, の.ける, ど.く"
U+9001,送,"escort, send",ソウ,おく.る
U+9003,逃,"escape, flee, shirk, evade, set free",トウ,"に.げる, に.がす, のが.す, のが.れる"
U+9005,逅,meet,コウ,"あ.う, まみ.える"
U+9006,逆,"inverted, reverse, opposite, wicked","ギャク, ゲキ","さか, さか.さ, さか.らう"
U+900D,逍,"saunter, loaf",ショウ,
U+900F,透,"transparent, permeate, filter, penetrate",トウ,"す.く, す.かす, す.ける, とう.る, とう.す"
U+9010,逐,"pursue, drive away, chase, accomplish, attain, commit",チク,
U+9013,逓,"relay, in turn, sending",テイ,"かわ.る, たがいに"
U+9014,途,"route, way, road",ト,みち
U+9017,逗,stop,"トウ, ズ",とど.まる
U+9019,這,"crawl, creep, grovel, trail (vines)","シャ, ゲン","は.う, は.い, むか.える, この"
U+901A,通,"traffic, pass through, avenue, commute, counter for letters,  notes,  documents,  etc.","ツウ, ツ","とお.る, とお.り, -とお.り, -どお.り, とお.す, とお.し, -どお.し, かよ.う"
U+901D,逝,"departed, die",セイ,"ゆ.く, い.く"
U+901E,逞,"sturdy, brawny, bold",テイ,たくま.しい
U+901F,速,"quick, fast",ソク,"はや.い, はや-, はや.める, すみ.やか"
U+9020,造,"create, make, structure, physique",ゾウ,"つく.る, つく.り, -づく.り"
U+9022,逢,"meeting, tryst, date, rendezvous",ホウ,"あ.う, むか.える"
U+9023,連,"take along, lead, join, connect, party, gang, clique",レン,"つら.なる, つら.ねる, つ.れる, -づ.れ"
U+9032,進,"advance, proceed, progress, promote",シン,"すす.む, すす.める"
U+9038,逸,"deviate, idleness, leisure, miss the mark, evade, elude, parry, diverge",イツ,"そ.れる, そ.らす, はぐ.れる"
U+903C,逼,"urge, force, imminent, spur on","フク, ヒツ, ヒョク, ヒキ","せま.る, むかばき"
U+9041,遁,"flee, escape, shirk, evade, set free","トン, シュン",のが.れる
U+9042,遂,"consummate, accomplish, attain, commit (suicide)",スイ,"と.げる, つい.に"
U+9045,遅,"slow, late, back, later",チ,"おく.れる, おく.らす, おそ.い"
U+9047,遇,"meet, encounter, interview, treat, entertain, receive, deal with",グウ,あ.う
U+904A,遊,play,"ユウ, ユ","あそ.ぶ, あそ.ばす"
U+904B,運,"carry, luck, destiny, fate, lot, transport, progress, advance",ウン,はこ.ぶ
U+904D,遍,"everywhere, times, widely, generally",ヘン,あまね.く
U+904E,過,"overdo, exceed, go beyond, error",カ,"す.ぎる, す.ごす, あやま.ち, あやま.つ, よぎ.る, よ.ぎる"
U+9053,道,"road-way, street, district, journey, course, moral, teachings","ドウ, トウ","みち, いう"
U+9054,達,"accomplished, reach, arrive, attain","タツ, ダ",-たち
U+9055,違,"difference, differ",イ,"ちが.う, ちが.い, ちが.える, -ちが.える, たが.う, たが.える"
U+9059,遙,"far off, distant, long ago",ヨウ,はる.か
U+9060,遠,"distant, far","エン, オン",とお.い
U+9063,遣,"dispatch, despatch, send, give, donate, do, undertake",ケン,"つか.う, -つか.い, -づか.い, つか.わす, や.る"
U+9065,遥,"far off, distant, long ago",ヨウ,はる.か
U+9069,適,"suitable, occasional, rare, qualified, capable",テキ,かな.う
U+906D,遭,"encounter, meet, party, association, interview, join",ソウ,"あ.う, あ.わせる"
U+9072,遲,"late, tardy, slow, delay",チ,"おく.れる, おく.らす, おそ.い"
U+9077,遷,"transition, move, change",セン,"うつ.る, うつ.す, みやこがえ"
U+9078,選,"elect, select, choose, prefer",セン,"えら.ぶ, え.る, よ.る"
U+907A,遺,"bequeath, leave behind, reserve","イ, ユイ",のこ.す
U+907D,遽,"fear, agitation, confusion, hurry",キョ,"あわ.てる, あわただ.しい, すみやか, にわか"
U+907F,避,"evade, avoid, avert, ward off, shirk, shun",ヒ,"さ.ける, よ.ける"
U+9082,邂,meet unexpectedly,カイ,あ.う
U+9084,還,"send back, return",カン,かえ.る
U+9089,邉,"edge, margin, side, border",ヘン,"あた.り, ほと.り, -べ"
U+908A,邊,"edge, margin, side, border",ヘン,"あた.り, ほと.り, -べ"
U+9091,邑,"village, rural community, right village radical (no. 163)",ユウ,むら
U+90A3,那,what?,"ナ, ダ","なに, なんぞ, いかん"
U+90A6,邦,"home country, country, Japan",ホウ,くに
U+90AA,邪,"wicked, injustice, wrong",ジャ,よこし.ま
U+90AF,邯,"place name, tree cricket",カン,
U+90C1,郁,"cultural progress, perfume",イク,
U+90CA,郊,"outskirts, suburbs, rural area",コウ,
U+90CE,郎,"son, counter for sons","ロウ, リョウ",おとこ
U+90DB,郛,earthwork enclosure around a castle,フ,くるわ
U+90E1,郡,"county, district",グン,こおり
U+90E8,部,"section, bureau, dept, class, copy, part, portion, counter for copies of a newspaper or magazine",ブ,-べ
U+90ED,郭,"enclosure, quarters, fortification, red-light district",カク,くるわ
U+90F7,郷,"home town, village, native place, district","キョウ, ゴウ",さと
U+90FD,都,"metropolis, capital, all, everything","ト, ツ",みやこ
U+9119,鄙,"lowly, the country, the countryside, be countrified",ヒ,"ひな, ひな.びる, いや.しい"
U+9132,鄲,place name,タン,
U+9149,酉,"west, bird, sign of the bird, 5-7PM, tenth sign of Chinese zodiac, sake radical (no. 164)",ユウ,とり
U+914C,酌,"bar-tending, serving sake, the host, draw (water), ladle, scoop, pump",シャク,く.む
U+914D,配,"distribute, spouse, exile, rationing",ハイ,くば.る
U+9152,酒,"sake, alcohol",シュ,"さけ, さか-"
U+9154,酔,"drunk, feel sick, poisoned, elated, spellbound",スイ,"よ.う, よ.い, よ"
U+9156,酖,"addiction, poison","タン, チン",ふ.ける
U+9162,酢,"vinegar, sour, acid, tart",サク,す
U+9169,酩,sweet sake,メイ,よう
U+916C,酬,"repay, reward, retribution","シュウ, シュ, トウ",むく.いる
U+9174,酴,"leaven, yeast, wine","ト, ズ",さけのもと
U+9177,酷,"cruel, severe, atrocious, unjust",コク,ひど.い
U+9178,酸,"acid, bitterness, sour, tart",サン,す.い
U+9189,醉,"get drunk, feel sick, poisoned, elated, spellbound",スイ,"よ.う, よ.い"
U+918D,醍,"whey, good Buddhist teaching","ダイ, タイ, テイ",
U+9190,醐,boiled butter,"ゴ, コ",
U+9192,醒,"awake, be disillusioned, sober up",セイ,"さ.ます, さ.める"
U+919C,醜,"ugly, unclean, shame, bad looking",シュウ,"みにく.い, しこ"
U+91A2,醢,salted meat,カイ,"ひしお, ししびしお, しおから"
U+91A4,醤,a kind of miso,ショウ,ひしお
U+91AA,醪,unrefined sake or shoyu,ロウ,"もろみ, にごりざけ"
U+91AB,醫,medicine,イ,"い.やす, い.する, くすし"
U+91AC,醬,any jam-like or paste-like food,ショウ,ひしお
U+91AF,醯,vinegar,"ケイ, カイ",
U+91B4,醴,sweet sake,"レイ, ライ",あまざけ
U+91BF,醿,,ビ,
U+91C4,釄,wine brew for the second time,,
U+91C7,采,"dice, form, appearance, take, gather, coloring",サイ,"と.る, いろどり"
U+91C8,釈,explanation,"シャク, セキ","とく, す.てる, ゆる.す"
U+91CB,釋,explain,"シャク, セキ","とく, す.てる, ゆる.す"
U+91CC,里,"ri, village, parent's home, league",リ,さと
U+91CD,重,"heavy, important, esteem, respect, heap up, pile up, nest of boxes, -fold","ジュウ, チョウ","え, おも.い, おも.り, おも.なう, かさ.ねる, かさ.なる, おも"
U+91CE,野,"plains, field, rustic, civilian life","ヤ, ショ","の, の-"
U+91CF,量,"quantity, measure, weight, amount, consider, estimate, surmise",リョウ,はか.る
U+91D1,金,gold,"キン, コン, ゴン","かね, かな-, -がね"
U+91D8,釘,"nail, tack, peg","テイ, チョウ",くぎ
U+91DC,釜,"kettle, cauldron, iron pot",フ,かま
U+91DD,針,"needle, pin, staple, stinger",シン,はり
U+91E1,釡,"kettle, cauldron, iron pot",フ,かま
U+91E3,釣,"angling, fish, catch, allure, ensnare",チョウ,"つ.る, つ.り, つ.り-"
U+91F5,釵,ornamental hairpin,"サイ, サ","かざし, かんざし"
U+91FF,釿,"hatchet, adze",キン,
U+920D,鈍,"dull, slow, foolish, blunt",ドン,"にぶ.い, にぶ.る, にぶ-, なま.る, なまく.ら"
U+920E,鈎,"hook, barb, gaff, brackets","コウ, ク",かぎ
U+9214,鈔,"selection, summary, 1/10 shaku",ショウ,
U+9234,鈴,"small bell, buzzer","レイ, リン",すず
U+9237,鈷,cobalt,コ,
U+9244,鉄,iron,テツ,くろがね
U+925B,鉛,lead,エン,なまり
U+9262,鉢,"bowl, rice tub, pot, crown","ハチ, ハツ",
U+9264,鉤,"hook, barb, gaff, brackets","コウ, ク","かぎ, はり, ばり"
U+9266,鉦,"bell, gong, chimes","セイ, ショウ",かね
U+927E,鉾,"halberd, arms, festival float","ボウ, ム",ほこ
U+9280,銀,silver,ギン,しろがね
U+9283,銃,"gun, arms",ジュウ,つつ
U+9285,銅,copper,ドウ,あかがね
U+9295,銕,"iron, strong, solid, firm",テツ,くろがね
U+9298,銘,"inscription, signature (of artisan)",メイ,
U+929A,銚,sake bottle,"チョウ, ヨウ",なべ
U+92AD,銭,"coin, .01 yen, money","セン, ゼン","ぜに, すき"
U+92E4,鋤,"spade up, plow","ジョ, ショ, ソ","す.く, すき, くわ"
U+92F8,鋸,saw (cuts wood),"キョ, コ","のこ, のこぎり"
U+9304,錄,"copy, write down, record","ロク, リョ",しるす
